Symbol,essentiality
AAAS,Essential
AAMP,Essential
AARS,Essential
AARS2,Essential
AASDHPPT,Essential
AATF,Essential
ABCB10,Essential
ABCE1,Essential
ABCF1,Essential
ABCG1,Essential
ABHD11,Essential
ABHD17A,Essential
ABT1,Essential
ACD,Essential
ACIN1,Essential
ACOT12,Essential
ACTB,Essential
ACTL6A,Essential
ACTR10,Essential
ACTR1A,Essential
ACTR1B,Essential
ACTR2,Essential
ACTR3,Essential
ACTR6,Essential
ACTR8,Essential
ADAT2,Essential
ADAT3,Essential
ADRM1,Essential
ADSL,Essential
AFG3L2,Essential
AGAP5,Essential
AGAP6,Essential
AHCTF1,Essential
AHCY,Essential
AK6,Essential
AKIRIN2,Essential
AKR7A3,Essential
ALDOA,Essential
ALG1,Essential
ALG11,Essential
ALG14,Essential
ALG1L,Essential
ALG2,Essential
ALYREF,Essential
ANAPC1,Essential
ANAPC10,Essential
ANAPC11,Essential
ANAPC13,Essential
ANAPC15,Essential
ANAPC2,Essential
ANAPC4,Essential
ANAPC5,Essential
ANKLE2,Essential
ANKRD11,Essential
ANKRD20A2,Essential
ANKRD36,Essential
ANKRD49,Essential
ANKS6,Essential
ANLN,Essential
AP2M1,Essential
AP2S1,Essential
AQP7,Essential
AQR,Essential
ARCN1,Essential
ARF4,Essential
ARFRP1,Essential
ARGFX,Essential
ARGLU1,Essential
ARHGAP11B,Essential
ARID3A,Essential
ARIH1,Essential
ARL2,Essential
ARL4D,Essential
ARMC6,Essential
ARMC7,Essential
ARPC2,Essential
ARPC3,Essential
ARPC4,Essential
ASF1B,Essential
ASNA1,Essential
ASUN,Essential
ATF4,Essential
ATL2,Essential
ATP1A1,Essential
ATP2A2,Essential
ATP5A1,Essential
ATP5B,Essential
ATP5C1,Essential
ATP5D,Essential
ATP5E,Essential
ATP5F1,Essential
ATP5G1,Essential
ATP5I,Essential
ATP5J2,Essential
ATP5L,Essential
ATP5O,Essential
ATP6V0B,Essential
ATP6V0C,Essential
ATP6V0D1,Essential
ATP6V1A,Essential
ATP6V1B2,Essential
ATP6V1C1,Essential
ATP6V1D,Essential
ATP6V1E1,Essential
ATP6V1F,Essential
ATP6V1G1,Essential
ATP6V1H,Essential
ATR,Essential
ATRIP,Essential
AURKA,Essential
AURKAIP1,Essential
AURKB,Essential
BANF1,Essential
BANP,Essential
BAP1,Essential
BARD1,Essential
BCAR1,Essential
BCAS2,Essential
BCL2L1,Essential
BCLAF1,Essential
BCS1L,Essential
BDP1,Essential
BET1,Essential
BIRC5,Essential
BMS1,Essential
BNIP1,Essential
BOLA2,Essential
BOP1,Essential
BORA,Essential
BRCA1,Essential
BRCA2,Essential
BRD4,Essential
BRD8,Essential
BRF1,Essential
BRF2,Essential
BRIP1,Essential
BRIX1,Essential
BRK1,Essential
BRMS1,Essential
BTF3,Essential
BTF3L4,Essential
BUB1,Essential
BUB1B,Essential
BUB3,Essential
BUD13,Essential
BUD31,Essential
BYSL,Essential
C10orf2,Essential
C11orf57,Essential
C12orf45,Essential
C14orf166,Essential
C14orf80,Essential
C16orf59,Essential
C16orf86,Essential
C17orf58,Essential
C17orf82,Essential
C17orf89,Essential
C17orf96,Essential
C19orf25,Essential
C19orf52,Essential
C19orf53,Essential
C1D,Essential
C1QBP,Essential
C1QTNF4,Essential
C1orf109,Essential
C1orf131,Essential
C21orf59,Essential
C2orf27A,Essential
C3orf17,Essential
C3orf38,Essential
C6orf15,Essential
C7orf26,Essential
C7orf50,Essential
C9orf114,Essential
C9orf16,Essential
C9orf78,Essential
CA5A,Essential
CACNB3,Essential
CACTIN,Essential
CADM4,Essential
CAMLG,Essential
CAP1,Essential
CAPZB,Essential
CARS,Essential
CASC5,Essential
CBLL1,Essential
CBLN1,Essential
CBWD2,Essential
CBWD3,Essential
CBWD5,Essential
CBX1,Essential
CCAR1,Essential
CCDC101,Essential
CCDC115,Essential
CCDC130,Essential
CCDC137,Essential
CCDC144A,Essential
CCDC144NL,Essential
CCDC174,Essential
CCDC59,Essential
CCDC78,Essential
CCDC84,Essential
CCDC86,Essential
CCDC94,Essential
CCNA2,Essential
CCNB1,Essential
CCND1,Essential
CCNH,Essential
CCNK,Essential
CCNL1,Essential
CCP110,Essential
CCT2,Essential
CCT3,Essential
CCT4,Essential
CCT5,Essential
CCT6A,Essential
CCT7,Essential
CCT8,Essential
CD2BP2,Essential
CD3EAP,Essential
CDAN1,Essential
CDC123,Essential
CDC16,Essential
CDC20,Essential
CDC23,Essential
CDC26,Essential
CDC27,Essential
CDC37,Essential
CDC40,Essential
CDC42,Essential
CDC45,Essential
CDC5L,Essential
CDC6,Essential
CDC7,Essential
CDC73,Essential
CDCA5,Essential
CDCA8,Essential
CDH5,Essential
CDIPT,Essential
CDK1,Essential
CDK11A,Essential
CDK2,Essential
CDK7,Essential
CDK9,Essential
CDT1,Essential
CEBPZ,Essential
CENPA,Essential
CENPC,Essential
CENPE,Essential
CENPH,Essential
CENPK,Essential
CENPN,Essential
CENPT,Essential
CENPW,Essential
CEP131,Essential
CEP152,Essential
CEP192,Essential
CEP68,Essential
CEP85,Essential
CEP97,Essential
CFAP20,Essential
CFDP1,Essential
CFL1,Essential
CHAF1A,Essential
CHAF1B,Essential
CHCHD1,Essential
CHCHD2,Essential
CHCHD4,Essential
CHD4,Essential
CHEK1,Essential
CHERP,Essential
CHMP1A,Essential
CHMP2A,Essential
CHMP3,Essential
CHMP4B,Essential
CHMP5,Essential
CHMP6,Essential
CHMP7,Essential
CHORDC1,Essential
CHTF18,Essential
CHTF8,Essential
CHTOP,Essential
CIAO1,Essential
CIAPIN1,Essential
